PSOE;6752983
PP;5019869
VOX;3640063
UP;3097185
Cs;1637540
ERC;869934
Más País;577055
JxCat;527375
PNV;377423
Bildu;276519
CUP;244754
Pacma;226469
CC;123981
BNG;119597
NA+;98448
PRC;68580
Recortes Cero;34306
PUM+J;27016
Teruel Existe;19696
Més Esquerra;18206
PCPE;14023
AxSÍ;13954
PCTE;13828
GBAI;12622
UPL;10198
PCOE;9664
CpM;8925
EB;5952
ERPV;5816
XAV;5399
AVANT Adelante los Verdes;5290
VERDES;3241
PH;3195
I.Fem;2822
CONTIGO;2398
IZQP;2347
UIG-SOM-CUIDES;2316
Somos Región;2303
AC;2015
CHA;1980
PPSO;1451
PDSJE;1386
Extremadura Unida;1317
P-LIB;1159
UNIDOS SÍ-ACPS-DEf;1064
MAS;1063
ANDECHA;897
PREPAL;866
MDyC;814
AUNACV;658
PYLN;623
FE de las JONS;608
CAnda;515
Unión Regionalist;514
FIA;431
Solidaria;269
Centrados;237
RISA;229
DPL;210
IZAR;144
C 21;64
UDT;31
